Centro;Destino;Ayuda AIRE (tn);Ayuda TIERRA (tn);Ayuda MAR (tn);Ayuda Total (tn)
SAN_PABLO;VARSOVIA;0,0;0,0;0,0;0,0
SAN_PABLO;BRATISLAVA;0,0;0,0;0,0;0,0
SAN_PABLO;BUCAREST;0,0;0,0;0,0;0,0
PANAMA;VARSOVIA;0,0;0,0;0,0;0,0
PANAMA;BRATISLAVA;0,0;0,0;0,0;0,0
PANAMA;BUCAREST;0,0;0,0;0,0;0,0
BOGOTA;VARSOVIA;0,0;0,0;0,0;0,0
BOGOTA;BRATISLAVA;0,0;0,0;0,0;0,0
BOGOTA;BUCAREST;0,0;0,0;0,0;0,0
NUEVA_YORK;VARSOVIA;0,0;0,0;0,0;0,0
NUEVA_YORK;BRATISLAVA;0,0;0,0;0,0;0,0
NUEVA_YORK;BUCAREST;0,0;0,0;0,0;0,0
MIAMI;VARSOVIA;2200,0;0,0;0,0;2200,0
MIAMI;BRATISLAVA;0,0;0,0;0,0;0,0
MIAMI;BUCAREST;0,0;0,0;0,0;0,0
AMSTERDAM;VARSOVIA;900,0;1595,51;0,0;2495,51
AMSTERDAM;BRATISLAVA;0,0;0,0;0,0;0,0
AMSTERDAM;BUCAREST;0,0;354,489;0,0;354,489
LONDRES;VARSOVIA;0,0;0,0;0,0;0,0
LONDRES;BRATISLAVA;0,0;0,0;0,0;0,0
LONDRES;BUCAREST;354,489;2345,51;0,0;2699,9990000000003
ROMA;VARSOVIA;200,0;0,0;0,0;200,0
ROMA;BRATISLAVA;0,0;2100,0;0,0;2100,0
ROMA;BUCAREST;0,0;0,0;0,0;0,0
ESTAMBUL;VARSOVIA;0,0;0,0;0,0;0,0
ESTAMBUL;BRATISLAVA;1900,0;0,0;0,0;1900,0
ESTAMBUL;BUCAREST;200,511;0,0;0,0;200,511
HAIFA;VARSOVIA;0,0;0,0;0,0;0,0
HAIFA;BRATISLAVA;0,0;0,0;0,0;0,0
HAIFA;BUCAREST;2145,0;0,0;0,0;2145,0
TOKIO;VARSOVIA;0,0;0,0;0,0;0,0
TOKIO;BRATISLAVA;0,0;0,0;0,0;0,0
TOKIO;BUCAREST;0,0;0,0;0,0;0,0
TAIPEI;VARSOVIA;0,0;0,0;0,0;0,0
TAIPEI;BRATISLAVA;0,0;0,0;0,0;0,0
TAIPEI;BUCAREST;0,0;0,0;0,0;0,0
