Origen;Centro;AIRE;TIERRA;MAR;Total
ARGENTINA;SAN_PABLO;0,0;0,0;0,0;0,0
ARGENTINA;PANAMA;0,0;0,0;0,0;0,0
ARGENTINA;BOGOTA;0,0;0,0;0,0;0,0
ARGENTINA;NUEVA_YORK;0,0;0,0;0,0;0,0
ARGENTINA;MIAMI;0,0;0,0;0,0;0,0
ARGENTINA;AMSTERDAM;0,0;0,0;0,0;0,0
ARGENTINA;LONDRES;0,0;0,0;0,0;0,0
ARGENTINA;ROMA;0,0;0,0;0,0;0,0
ARGENTINA;ESTAMBUL;0,0;0,0;0,0;0,0
ARGENTINA;HAIFA;0,0;0,0;0,0;0,0
ARGENTINA;TOKIO;0,0;0,0;0,0;0,0
ARGENTINA;TAIPEI;0,0;0,0;0,0;0,0
URUGUAY;SAN_PABLO;0,0;0,0;0,0;0,0
URUGUAY;PANAMA;0,0;0,0;0,0;0,0
URUGUAY;BOGOTA;0,0;0,0;0,0;0,0
URUGUAY;NUEVA_YORK;0,0;0,0;0,0;0,0
URUGUAY;MIAMI;0,0;0,0;0,0;0,0
URUGUAY;AMSTERDAM;0,0;0,0;0,0;0,0
URUGUAY;LONDRES;0,0;0,0;0,0;0,0
URUGUAY;ROMA;0,0;0,0;0,0;0,0
URUGUAY;ESTAMBUL;0,0;0,0;0,0;0,0
URUGUAY;HAIFA;0,0;0,0;0,0;0,0
URUGUAY;TOKIO;0,0;0,0;0,0;0,0
URUGUAY;TAIPEI;0,0;0,0;0,0;0,0
CHILE;SAN_PABLO;0,0;0,0;0,0;0,0
CHILE;PANAMA;0,0;0,0;0,0;0,0
CHILE;BOGOTA;0,0;0,0;0,0;0,0
CHILE;NUEVA_YORK;0,0;0,0;0,0;0,0
CHILE;MIAMI;0,0;0,0;0,0;0,0
CHILE;AMSTERDAM;0,0;0,0;0,0;0,0
CHILE;LONDRES;0,0;0,0;0,0;0,0
CHILE;ROMA;0,0;0,0;0,0;0,0
CHILE;ESTAMBUL;0,0;0,0;0,0;0,0
CHILE;HAIFA;0,0;0,0;0,0;0,0
CHILE;TOKIO;0,0;0,0;0,0;0,0
CHILE;TAIPEI;0,0;0,0;0,0;0,0
BRASIL;SAN_PABLO;0,0;0,0;0,0;0,0
BRASIL;PANAMA;0,0;0,0;0,0;0,0
BRASIL;BOGOTA;0,0;0,0;0,0;0,0
BRASIL;NUEVA_YORK;0,0;0,0;0,0;0,0
BRASIL;MIAMI;0,0;0,0;0,0;0,0
BRASIL;AMSTERDAM;0,0;0,0;0,0;0,0
BRASIL;LONDRES;0,0;0,0;0,0;0,0
BRASIL;ROMA;0,0;0,0;0,0;0,0
BRASIL;ESTAMBUL;0,0;0,0;0,0;0,0
BRASIL;HAIFA;0,0;0,0;0,0;0,0
BRASIL;TOKIO;0,0;0,0;0,0;0,0
BRASIL;TAIPEI;0,0;0,0;0,0;0,0
PARAGUAY;SAN_PABLO;0,0;0,0;0,0;0,0
PARAGUAY;PANAMA;0,0;0,0;0,0;0,0
PARAGUAY;BOGOTA;0,0;0,0;0,0;0,0
PARAGUAY;NUEVA_YORK;0,0;0,0;0,0;0,0
PARAGUAY;MIAMI;0,0;0,0;0,0;0,0
PARAGUAY;AMSTERDAM;0,0;0,0;0,0;0,0
PARAGUAY;LONDRES;0,0;0,0;0,0;0,0
PARAGUAY;ROMA;0,0;0,0;0,0;0,0
PARAGUAY;ESTAMBUL;0,0;0,0;0,0;0,0
PARAGUAY;HAIFA;0,0;0,0;0,0;0,0
PARAGUAY;TOKIO;0,0;0,0;0,0;0,0
PARAGUAY;TAIPEI;0,0;0,0;0,0;0,0
PERU;SAN_PABLO;0,0;0,0;0,0;0,0
PERU;PANAMA;0,0;0,0;0,0;0,0
PERU;BOGOTA;0,0;0,0;0,0;0,0
PERU;NUEVA_YORK;0,0;0,0;49,0;49,0
PERU;MIAMI;0,0;0,0;0,0;0,0
PERU;AMSTERDAM;0,0;0,0;0,0;0,0
PERU;LONDRES;0,0;0,0;0,0;0,0
PERU;ROMA;0,0;0,0;0,0;0,0
PERU;ESTAMBUL;0,0;0,0;0,0;0,0
PERU;HAIFA;0,0;0,0;0,0;0,0
PERU;TOKIO;0,0;0,0;0,0;0,0
PERU;TAIPEI;0,0;0,0;0,0;0,0
