Origen;Capacidad (tn);Ayuda Enviada (tn)
ARGENTINA;0,0;0,0
URUGUAY;0,0;0,0
CHILE;0,0;0,0
BRASIL;0,0;0,0
PARAGUAY;0,0;0,0
PERU;49,0;49,0
BOLIVIA;0,0;0,0
ECUADOR;0,0;0,0
COLOMBIA;65,0;65,0
PANAMA;0,0;0,0
COSTA_RICA;70,0;70,0
NICARAGUA;75,0;75,0
GUATEMALA;65,0;65,0
REPUBLICA_DOMINICANA;50,0;50,0
PUERTO_RICO;66,0;66,0
MEXICO;110,0;110,0
ESTADOS_UNIDOS;1200,0;1200,0
CANADA;1100,0;1100,0
PORTUGAL;220,0;220,0
ESPANA;230,0;230,0
FRANCIA;280,0;280,0
REINO_UNIDO;320,0;320,0
IRLANDA;240,0;240,0
BELGICA;260,0;260,0
PAISES_BAJOS;540,0;540,0
ALEMANIA;990,0;990,0
SUIZA;310,0;310,0
AUSTRIA;300,0;300,0
ITALIA;415,0;415,0
HUNGRIA;146,0;146,0
BULGARIA;114,0;114,0
GRECIA;190,0;190,0
ISLANDIA;238,0;238,0
DINAMARCA;445,0;445,0
NORUEGA;788,0;788,0
SUECIA;651,0;651,0
FINLANDIA;686,0;686,0
TURQUIA;240,0;240,0005
EGIPTO;215,0;215,0
MARRUECOS;95,0;95,0
ARGELIA;80,0;80,0
LIBIA;82,0;82,0
SUDAFRICA;220,0;220,0
ARABIA_SAUDITA;420,0;420,0
ISRAEL;450,0;450,0
EMIRATOS_ARABES_UNIDOS;870,0;870,0
OMAN;115,0;115,0
VIETNAM;0,0;0,0
SINGAPUR;210,0;210,0
MALASIA;232,0;232,0
INDONESIA;0,0;0,0
FILIPINAS;0,0;0,0
COREA_DEL_SUR;0,0;0,0
TAIWAN;0,0;0,0
JAPON;638,0;637,9995
CHINA;0,0;0,0
AUSTRALIA;215,511;215,511
NUEVA_ZELANDA;0,0;0,0
