Origen;Centro;AIRE;TIERRA;MAR;Total
ARGENTINA;SAN_PABLO;0,0;0,0;0,0;0,0
ARGENTINA;PANAMA;0,0;0,0;0,0;0,0
ARGENTINA;NUEVA_YORK;0,0;0,0;75,0;75,0
ARGENTINA;AMSTERDAM;0,0;0,0;0,0;0,0
ARGENTINA;ESTAMBUL;0,0;0,0;0,0;0,0
ARGENTINA;TOKIO;0,0;0,0;0,0;0,0
URUGUAY;SAN_PABLO;0,0;0,0;0,0;0,0
URUGUAY;PANAMA;0,0;0,0;0,0;0,0
URUGUAY;NUEVA_YORK;0,0;0,0;55,0;55,0
URUGUAY;AMSTERDAM;0,0;0,0;0,0;0,0
URUGUAY;ESTAMBUL;0,0;0,0;0,0;0,0
URUGUAY;TOKIO;0,0;0,0;0,0;0,0
CHILE;SAN_PABLO;0,0;0,0;0,0;0,0
CHILE;PANAMA;0,0;0,0;0,0;0,0
CHILE;NUEVA_YORK;0,0;0,0;0,0;0,0
CHILE;AMSTERDAM;0,0;0,0;76,0;76,0
CHILE;ESTAMBUL;0,0;0,0;0,0;0,0
CHILE;TOKIO;0,0;0,0;0,0;0,0
BRASIL;SAN_PABLO;0,0;0,0;0,0;0,0
BRASIL;PANAMA;0,0;0,0;0,0;0,0
BRASIL;NUEVA_YORK;0,0;0,0;0,0;0,0
BRASIL;AMSTERDAM;0,0;0,0;0,0;0,0
BRASIL;ESTAMBUL;0,0;0,0;16,2082;16,2082
BRASIL;TOKIO;0,0;0,0;0,0;0,0
COLOMBIA;SAN_PABLO;0,0;0,0;0,0;0,0
COLOMBIA;PANAMA;0,0;0,0;65,0;65,0
COLOMBIA;NUEVA_YORK;0,0;0,0;0,0;0,0
COLOMBIA;AMSTERDAM;0,0;0,0;0,0;0,0
COLOMBIA;ESTAMBUL;0,0;0,0;0,0;0,0
COLOMBIA;TOKIO;0,0;0,0;0,0;0,0
PANAMA;SAN_PABLO;0,0;0,0;0,0;0,0
PANAMA;PANAMA;0,0;0,0;90,0;90,0
PANAMA;NUEVA_YORK;0,0;0,0;0,0;0,0
PANAMA;AMSTERDAM;0,0;0,0;0,0;0,0
PANAMA;ESTAMBUL;0,0;0,0;0,0;0,0
PANAMA;TOKIO;0,0;0,0;0,0;0,0
REPUBLICA_DOMINICANA;SAN_PABLO;0,0;0,0;0,0;0,0
REPUBLICA_DOMINICANA;PANAMA;0,0;0,0;0,0;0,0
REPUBLICA_DOMINICANA;NUEVA_YORK;0,0;0,0;50,0;50,0
REPUBLICA_DOMINICANA;AMSTERDAM;0,0;0,0;0,0;0,0
REPUBLICA_DOMINICANA;ESTAMBUL;0,0;0,0;0,0;0,0
REPUBLICA_DOMINICANA;TOKIO;0,0;0,0;0,0;0,0
MEXICO;SAN_PABLO;0,0;0,0;0,0;0,0
MEXICO;PANAMA;0,0;0,0;0,0;0,0
MEXICO;NUEVA_YORK;0,0;0,0;110,0;110,0
MEXICO;AMSTERDAM;0,0;0,0;0,0;0,0
MEXICO;ESTAMBUL;0,0;0,0;0,0;0,0
MEXICO;TOKIO;0,0;0,0;0,0;0,0
ESTADOS_UNIDOS;SAN_PABLO;0,0;0,0;0,0;0,0
ESTADOS_UNIDOS;PANAMA;0,0;0,0;0,0;0,0
ESTADOS_UNIDOS;NUEVA_YORK;0,0;0,0;915,208;915,208
ESTADOS_UNIDOS;AMSTERDAM;0,0;0,0;284,792;284,792
ESTADOS_UNIDOS;ESTAMBUL;0,0;0,0;0,0;0,0
ESTADOS_UNIDOS;TOKIO;0,0;0,0;0,0;0,0
CANADA;SAN_PABLO;0,0;0,0;0,0;0,0
CANADA;PANAMA;0,0;0,0;0,0;0,0
CANADA;NUEVA_YORK;0,0;0,0;1100,0;1100,0
CANADA;AMSTERDAM;0,0;0,0;0,0;0,0
CANADA;ESTAMBUL;0,0;0,0;0,0;0,0
CANADA;TOKIO;0,0;0,0;0,0;0,0
ESPANA;SAN_PABLO;0,0;0,0;0,0;0,0
ESPANA;PANAMA;0,0;0,0;0,0;0,0
ESPANA;NUEVA_YORK;0,0;0,0;0,0;0,0
ESPANA;AMSTERDAM;0,0;0,0;0,0;0,0
ESPANA;ESTAMBUL;230,0;0,0;0,0;230,0
ESPANA;TOKIO;0,0;0,0;0,0;0,0
REINO_UNIDO;SAN_PABLO;0,0;0,0;0,0;0,0
