Origen;Capacidad (tn);Ayuda Enviada (tn)
ARGENTINA;75,0;75,0
URUGUAY;55,0;55,0
CHILE;76,0;76,0
BRASIL;122,0;16,2082
COLOMBIA;65,0;65,0
PANAMA;90,0;90,0
REPUBLICA_DOMINICANA;50,0;50,0
MEXICO;110,0;110,0
ESTADOS_UNIDOS;1200,0;1200,0
CANADA;1100,0;1100,0
ESPANA;230,0;230,0
REINO_UNIDO;320,0;320,0
IRLANDA;240,0;240,0
PAISES_BAJOS;540,0;540,0
ALEMANIA;990,0;990,0
TURQUIA;240,0;240,0
ISRAEL;450,0;450,0
TAIWAN;344,0;344,0
JAPON;638,0;638,0
CHINA;741,0;741,0
AUSTRALIA;300,0;300,0
NUEVA_ZELANDA;120,0;0,0
